PQE,Package
0,64000
1,63000
2,85000
3,100000
4,110000
5,135000
6,155000
0,60000
1,65000
2,78000
3,90000
4,100000
5,115000
6,131000
0,50000
1,57000
2,66000
3,75000
4,85000
5,93000
6,110000
1,80000
2,90000
3,110000
4,135000
5,147500
6,165000
0,72500
1,79750
2,95000
3,106000
4,126000
0,81250
1,90000
2,104000
3,117500
4,137500
5,152500
